Row Labels,Sum of Terakhir,Sum of Tertinggi,Sum of Pembukaan,Sum of Terendah
22/06/2018,1361.7,1365,1365,1365
22/06/2020,1781.7,1793.6,1780.3,1769
22/07/2011,1601.3,1606.5,1588.5,1588.5
22/07/2013,1336.4,1332.2,1317,1317
22/07/2014,1461.6,1306.1,1306.1,1306.1
22/07/2015,1187.6,1187.6,1187.6,1187.6
22/07/2016,1385.5,1385.5,1385.5,1385.5
22/07/2019,1466,1466,1466,1466
22/07/2020,1892.6,1899,1867.8,1867.8
22/08/2011,1888.7,1895,1868.6,1858.4
22/08/2012,1637.4,1653.1,1638.4,1635
22/08/2013,1371.2,1380.4,1362,1362
22/08/2014,1434.1,1280,1276,1275
22/08/2016,1405.2,1405.2,1405.2,1405.2
22/08/2017,1358.6,1358.6,1358.6,1358.6
22/08/2018,1275.8,1280.2,1280.2,1278.2
22/08/2019,1534.4,1538.8,1534.3,1530.5
22/09/2011,1739.2,1773.2,1773.2,1730.9
22/09/2014,1374.2,1214.9,1214.9,1212.4
22/09/2015,1199.6,1199.6,1199.6,1199.6
22/09/2016,1399.2,1399.2,1399.2,1399.2
22/09/2017,1369.4,1369.4,1369.4,1369.4
22/09/2020,1907.6,1925.5,1918.1,1898.9
22/10/2012,1725.1,1728.3,1715,1715
22/10/2013,1342.5,1342.6,1313.9,1313.9
22/10/2014,1366.6,1244.8,1244.8,1244.3
22/10/2015,1228.2,1228.2,1228.2,1228.2
22/10/2018,1299.8,1299.8,1299.8,1299.8
22/10/2019,1516.6,1519,1517.3,1515
22/10/2020,1904.6,1929.4,1927.4,1894.2
22/11/2011,1702.2,1679.8,1675.4,1675.4
22/11/2013,1244,1247,1243.2,1241.4
22/11/2016,1278,1278,1278,1278
22/11/2017,1376.4,1376.4,1376.4,1376.4
22/11/2018,1228,1229.7,1226.4,1225.5
22/11/2019,1494.4,1502.3,1497.7,1492
22/12/2011,1608.9,1610,1608.8,1601.9
22/12/2014,1289.7,1198,1198,1172.7
22/12/2015,1134,1134,1134,1134
22/12/2016,1213.8,1213.8,1213.8,1213.8
22/12/2017,1359.8,1354.3,1353.7,1353.7
22/12/2020,1870.3,1889.4,1883,1863.7
23/01/2012,1678,1680,1676.9,1669.9
23/01/2013,1686.3,1693.7,1691.3,1685.2
23/01/2014,1262.6,1264.2,1235.2,1235.2
23/01/2015,1417.6,1417.6,1417.6,1417.6
23/01/2017,1298.9,1298.9,1298.9,1298.9
23/01/2018,1434.2,1434.2,1434.2,1434.2
23/01/2019,1349.3,1349.3,1349.3,1349.3
23/01/2020,1592.1,1593.5,1585,1580.1
23/02/2011,1413.4,1413.8,1397.8,1397.8
23/02/2012,1784.9,1786,1774,1773
23/02/2015,1298.7,1298.7,1298.7,1298.7
23/02/2016,1261.4,1261.4,1261.4,1261.4
23/02/2017,1331.7,1331.7,1331.7,1331.7
23/02/2018,1429,1429,1429,1429
23/03/2011,1437.9,1439.7,1432.2,1432.2
23/03/2012,1662.3,1665.1,1652.5,1646.3
23/03/2015,1277.5,1277.5,1277.5,1277.5
23/03/2016,1274,1299,1299,1269.7
23/03/2017,1328.5,1328.5,1328.5,1328.5
23/03/2018,1455,1455,1455,1455
23/03/2020,1581.4,1583.7,1520,1498.9
23/04/2012,1631.9,1642.4,1642.4,1625.1
23/04/2013,1408.6,1429.5,1429.5,1405.8
23/04/2014,1284.2,1287.7,1284.3,1282.4
23/04/2015,1282,1282,1282,1282
23/04/2018,1424,1424,1424,1424
23/04/2019,1323.8,1323.8,1323.8,1323.8
23/04/2020,1751,1769.2,1741.4,1736
23/05/2011,1515.3,1513,1510.5,1507
23/05/2012,1548.1,1538.2,1538.2,1534.4
23/05/2013,1392,1394.8,1380.6,1377.8
23/05/2014,1291.6,1293.4,1293.2,1293.2
23/05/2016,1304.9,1304.9,1304.9,1304.9
23/05/2017,1332.1,1332.1,1332.1,1332.1
23/05/2018,1389.2,1389.2,1389.2,1389.2
23/05/2019,1331.8,1328.4,1328.4,1328.4
23/06/2011,1520.1,1547.2,1547.2,1514.7
23/06/2014,1318,1316.9,1312.3,1312.3
23/06/2015,1274.8,1274.8,1274.8,1274.8
23/06/2016,1317.7,1317.7,1317.7,1317.7
23/06/2017,1327.7,1327.7,1327.7,1327.7
23/06/2020,1797.1,1801.5,1780,1774
23/07/2012,1577.1,1572,1571.7,1569.8
23/07/2013,1335.1,1342.3,1334.8,1327.9
23/07/2014,1460.3,1304.5,1304.5,1304.5
23/07/2015,1190.1,1190.1,1190.1,1190.1
23/07/2018,1310.7,1307.6,1307.6,1307.6
23/07/2019,1460.8,1459.6,1458.6,1458.6
23/07/2020,1917.4,1927.1,1900,1890.4
23/08/2011,1858.3,1909.3,1909,1824.6
23/08/2012,1669.6,1672.7,1659.9,1658
23/08/2013,1395.7,1398.2,1376.8,1373.9
23/08/2016,1407.8,1407.8,1407.8,1407.8
23/08/2017,1361.7,1361.7,1361.7,1361.7
23/08/2018,1265.2,1265.2,1265.2,1265.2
23/08/2019,1563.5,1563.5,1539,1537.3
23/09/2011,1637.5,1737.3,1737.3,1636.3
23/09/2013,1326.9,1327.8,1327.1,1317.6
23/09/2014,1377.2,1221,1221,1221
23/09/2015,1206.3,1206.3,1206.3,1206.3
23/09/2016,1396,1396,1396,1396
23/09/2019,1561.6,1562.5,1556.6,1556.6
23/09/2020,1868.4,1909.9,1905.1,1856
