Date,Price,Open,High,Low,Vol.,Change %
22-Oct-18,1299.8,1299.8,1299.8,1299.8,0.02K,-0.31%
19-Oct-18,1303.8,1303.8,1303.8,1303.8,0.06K,-0.10%
18-Oct-18,1305.1,1305.1,1305.1,1305.1,0.17K,0.25%
17-Oct-18,1301.9,1301.9,1301.9,1301.9,0.01K,-0.30%
16-Oct-18,1305.8,1305.8,1305.8,1305.8,0.05K,0.03%
15-Oct-18,1305.4,1305.4,1305.4,1305.4,0.14K,0.70%
12-Oct-18,1296.3,1296.3,1296.3,1296.3,0.12K,-0.46%
11-Oct-18,1302.3,1271.2,1271.2,1271.2,0.00K,2.73%
10-Oct-18,1267.7,1267.7,1267.7,1267.7,0.06K,0.15%
09-Oct-18,1265.8,1265.8,1265.8,1265.8,0.01K,0.23%
08-Oct-18,1262.9,1262.9,1262.9,1262.9,0.04K,-1.35%
05-Oct-18,1280.2,1280.2,1280.2,1280.2,0.01K,0.37%
04-Oct-18,1275.5,1275.5,1275.5,1275.5,0.00K,-0.09%
03-Oct-18,1276.7,1276.7,1276.7,1276.7,0.08K,-0.31%
02-Oct-18,1280.7,1280.7,1280.7,1280.7,0.00K,1.29%
01-Oct-18,1264.4,1264.4,1264.4,1264.4,0.18K,-0.34%
28-Sep-18,1268.7,1270,1270,1270,0.00K,0.71%
27-Sep-18,1259.8,1260,1260,1260,0.00K,-0.94%
26-Sep-18,1271.8,1271.8,1271.8,1271.8,0.00K,-0.50%
25-Sep-18,1278.2,1278.2,1278.2,1278.2,0.02K,0.06%
24-Sep-18,1277.4,1277.4,1277.4,1277.4,0.01K,0.24%
21-Sep-18,1274.3,1274.3,1274.3,1274.3,0.04K,-0.79%
20-Sep-18,1284.4,1284.4,1284.4,1284.4,0.01K,0.23%
19-Sep-18,1281.5,1281.5,1281.5,1281.5,0.01K,0.45%
18-Sep-18,1275.7,1275.7,1275.7,1275.7,0.03K,-0.21%
17-Sep-18,1278.4,1278.4,1278.4,1278.4,0.04K,0.36%
14-Sep-18,1273.8,1273.8,1273.8,1273.8,0.00K,-0.56%
13-Sep-18,1281,1281,1281,1281,0.02K,-0.23%
12-Sep-18,1283.9,1269.6,1271,1269.5,0.02K,0.75%
11-Sep-18,1274.4,1274.4,1274.4,1274.4,0.02K,0.22%
10-Sep-18,1271.6,1271.6,1271.6,1271.6,0.01K,-0.04%
07-Sep-18,1272.1,1272.1,1272.1,1272.1,0.00K,-0.28%
06-Sep-18,1275.7,1275.7,1275.7,1275.7,0.00K,0.24%
05-Sep-18,1272.6,1266.1,1271.9,1266.1,0.01K,0.19%
04-Sep-18,1270.2,1270.2,1270.2,1270.2,0.03K,5.30%
03-Sep-18,1206.3,1204.9,1209.6,1201.3,-,0.12%
02-Sep-18,1204.9,1206.2,1206.6,1204.5,-,-5.70%
31-Aug-18,1277.7,1277.7,1277.7,1277.7,0.03K,0.13%
30-Aug-18,1276.1,1276.1,1276.1,1276.1,0.01K,-0.56%
29-Aug-18,1283.3,1283.3,1283.3,1283.3,0.03K,-0.24%
28-Aug-18,1286.4,1286.4,1286.4,1286.4,0.14K,-0.12%
27-Aug-18,1288,1288,1288,1288,0.15K,0.23%
24-Aug-18,1285,1285,1285,1285,0.01K,1.56%
23-Aug-18,1265.2,1265.2,1265.2,1265.2,0.00K,-0.83%
22-Aug-18,1275.8,1280.2,1280.2,1278.2,0.00K,0.24%
21-Aug-18,1272.8,1272.9,1272.9,1272.9,0.00K,0.42%
20-Aug-18,1267.5,1266,1266,1266,0.00K,0.75%
17-Aug-18,1258.1,1258.1,1258.1,1258.1,0.00K,0.01%
16-Aug-18,1258,1258,1258,1258,0.04K,-0.13%
15-Aug-18,1259.7,1265.8,1265.8,1265.8,0.00K,-1.27%
14-Aug-18,1275.9,1273.4,1273.4,1273.4,0.00K,0.14%
13-Aug-18,1274.1,1274.1,1274.1,1274.1,0.01K,-1.58%
10-Aug-18,1294.6,1294.6,1294.6,1294.6,0.08K,-0.09%
09-Aug-18,1295.8,1295.8,1295.8,1295.8,0.04K,-0.08%
08-Aug-18,1296.8,1296.8,1296.8,1296.8,0.21K,0.20%
07-Aug-18,1294.2,1294.2,1294.2,1294.2,0.72K,0.05%
06-Aug-18,1293.6,1302.8,1305,1298.6,0.01K,-0.45%
03-Aug-18,1299.4,1288.8,1298.4,1288.8,0.01K,0.25%
02-Aug-18,1296.2,1308,1308,1308,0.00K,-0.60%
01-Aug-18,1304,1304,1304,1304,1.03K,-0.44%
31-Jul-18,1309.8,1309.8,1309.8,1309.8,2.72K,0.16%
30-Jul-18,1307.7,1306.9,1309.1,1301.9,0.01K,-0.10%
27-Jul-18,1309,1309,1309,1309,0.00K,-0.19%
